no,category,brand,name,price,gender,color_family,link,list_image
1952,Hand Bags,GYKACO,GYKACO Tas Wanita Hand bag - GERBER Black - Fashion Top Handle Bag (Import),Rp 866.000,female,black,https://www.zalora.co.id/gykaco-gykaco-tas-wanita-hand-bag-gerber-black-fashion-top-handle-bag-import-black-1962305.html,http://static.id.zalora.net/p/gykaco-4657-5032691-1.jpg|http://static.id.zalora.net/p/gykaco-4658-5032691-2.jpg|http://static.id.zalora.net/p/gykaco-4658-5032691-3.jpg|http://static.id.zalora.net/p/gykaco-4658-5032691-4.jpg|http://static.id.zalora.net/p/gykaco-4658-5032691-5.jpg|http://static.id.zalora.net/p/gykaco-4658-5032691-6.jpg|http://static.id.zalora.net/p/gykaco-4659-5032691-7.jpg|
1953,Hand Bags,GYKACO,GYKACO Tas Wanita Hand bag - LUMENA Khaki - Fashion Top Handle Bag (Import),Rp 817.000,female,beige,https://www.zalora.co.id/gykaco-gykaco-tas-wanita-hand-bag-lumena-khaki-fashion-top-handle-bag-import-beige-2273448.html,http://static.id.zalora.net/p/gykaco-1308-8443722-1.jpg|http://static.id.zalora.net/p/gykaco-1308-8443722-2.jpg|http://static.id.zalora.net/p/gykaco-1308-8443722-3.jpg|http://static.id.zalora.net/p/gykaco-1308-8443722-4.jpg|http://static.id.zalora.net/p/gykaco-1308-8443722-5.jpg|
1954,Hand Bags,SAINT LUCAS,Saint Lucas Premium Women Bag,Rp 1.199.000,female,red,https://www.zalora.co.id/saint-lucas-saint-lucas-premium-women-bag-red-2255669.html,http://static.id.zalora.net/p/saint-lucas-9433-9665522-1.jpg|http://static.id.zalora.net/p/saint-lucas-9434-9665522-2.jpg|http://static.id.zalora.net/p/saint-lucas-9434-9665522-3.jpg|http://static.id.zalora.net/p/saint-lucas-9434-9665522-4.jpg|http://static.id.zalora.net/p/saint-lucas-9434-9665522-5.jpg|
1955,Hand Bags,GYKACO,GYKACO Tas Wanita Hand bag - GERBER Brown - Fashion Top Handle Bag (Import),Rp 866.000,female,brown,https://www.zalora.co.id/gykaco-gykaco-tas-wanita-hand-bag-gerber-brown-fashion-top-handle-bag-import-brown-2012670.html,http://static.id.zalora.net/p/gykaco-4659-0762102-1.jpg|http://static.id.zalora.net/p/gykaco-4659-0762102-2.jpg|http://static.id.zalora.net/p/gykaco-4659-0762102-3.jpg|http://static.id.zalora.net/p/gykaco-4660-0762102-4.jpg|http://static.id.zalora.net/p/gykaco-4660-0762102-5.jpg|http://static.id.zalora.net/p/gykaco-4660-0762102-6.jpg|http://static.id.zalora.net/p/gykaco-4660-0762102-7.jpg|
1956,Hand Bags,Marhen J,MARHEN.J Roy Mini Black,Rp 2.138.000,female,black,https://www.zalora.co.id/marhen-j-marhen-j-roy-mini-black-black-2177312.html,http://static.id.zalora.net/p/marhen-j-3460-2137712-1.jpg|http://static.id.zalora.net/p/marhen-j-3460-2137712-2.jpg|http://static.id.zalora.net/p/marhen-j-3460-2137712-3.jpg|http://static.id.zalora.net/p/marhen-j-3460-2137712-4.jpg|
1957,Hand Bags,Primrose,Carin,Rp 599.000,female,black,https://www.zalora.co.id/primrose-carin-black-2097945.html,http://static.id.zalora.net/p/primrose-7351-5497902-1.jpg|http://static.id.zalora.net/p/primrose-7352-5497902-2.jpg|http://static.id.zalora.net/p/primrose-7352-5497902-3.jpg|http://static.id.zalora.net/p/primrose-7352-5497902-4.jpg|http://static.id.zalora.net/p/primrose-7352-5497902-5.jpg|
1958,Hand Bags,Berrybenka Label,Fortuna Ocean Basic Handbag Khaki,Rp 449.000,female,brown,https://www.zalora.co.id/berrybenka-label-fortuna-ocean-basic-handbag-khaki-brown-2365069.html,http://static.id.zalora.net/p/berrybenka-label-9287-9605632-1.jpg|http://static.id.zalora.net/p/berrybenka-label-9288-9605632-2.jpg|http://static.id.zalora.net/p/berrybenka-label-9288-9605632-3.jpg|http://static.id.zalora.net/p/berrybenka-label-9288-9605632-4.jpg|http://static.id.zalora.net/p/berrybenka-label-9288-9605632-5.jpg|
1959,Hand Bags,Berrybenka Label,Freya Ocean Belt Handbag Khaki,Rp 449.000,female,brown,https://www.zalora.co.id/berrybenka-label-freya-ocean-belt-handbag-khaki-brown-2365062.html,http://static.id.zalora.net/p/berrybenka-label-9269-2605632-1.jpg|http://static.id.zalora.net/p/berrybenka-label-9269-2605632-2.jpg|http://static.id.zalora.net/p/berrybenka-label-9269-2605632-3.jpg|http://static.id.zalora.net/p/berrybenka-label-9270-2605632-4.jpg|http://static.id.zalora.net/p/berrybenka-label-9270-2605632-5.jpg|
1960,Hand Bags,Berrybenka Label,Franky Ocean Emblished Handbag Brown,Rp 449.000,female,brown,https://www.zalora.co.id/berrybenka-label-franky-ocean-emblished-handbag-brown-brown-2365484.html,http://static.id.zalora.net/p/berrybenka-label-5435-4845632-1.jpg|http://static.id.zalora.net/p/berrybenka-label-5435-4845632-2.jpg|http://static.id.zalora.net/p/berrybenka-label-5435-4845632-3.jpg|http://static.id.zalora.net/p/berrybenka-label-5435-4845632-4.jpg|http://static.id.zalora.net/p/berrybenka-label-5435-4845632-5.jpg|
1961,Hand Bags,SAINT LUCAS,Saint Lucas Premium Women Bag,Rp 999.000,female,beige,https://www.zalora.co.id/saint-lucas-saint-lucas-premium-women-bag-beige-2259153.html,http://static.id.zalora.net/p/saint-lucas-5171-3519522-1.jpg|http://static.id.zalora.net/p/saint-lucas-5171-3519522-2.jpg|http://static.id.zalora.net/p/saint-lucas-5171-3519522-3.jpg|http://static.id.zalora.net/p/saint-lucas-5172-3519522-4.jpg|
